File,Start Line,End Line,OP,Tips
NA,NA,NA,torch_npu.npu.set_compile_mode,"If it is a dynamic shape scenario, it is recommended to set torch_npu.npu.set_compile_mode(jit_compile=False) above the training entry file; if it is a fixed shape scenario, it is recommended to set torch_npu.npu.set_compile_mode(jit_compile=True) above the training entry file.
For more information, please refer to: https://www.hiascend.com/document/detail/zh/canncommercial/700/modeldevpt/ptmigr/AImpug_000060.html"
NA,NA,NA,TASK_QUEUE_ENABLE,"If you want to improve performance, please set environment variables 'export TASK_QUEUE_ENABLE=1'."
NA,NA,NA,HCCL_OP_BASE_FFTS_MODE_ENABLE,"If you want to improve performance, please set environment variables 'export HCCL_OP_BASE_FFTS_MODE_ENABLE=TRUE'."
detect.py,14,14,to,"To optimize communication between devices, it is recommended to set non_blocking to True.
For more information, please refer to: https://www.hiascend.com/document/detail/zh/canncommercial/700/modeldevpt/ptmigr/AImpug_000055.html"
detect.py,40,40,to,"To optimize communication between devices, it is recommended to set non_blocking to True.
For more information, please refer to: https://www.hiascend.com/document/detail/zh/canncommercial/700/modeldevpt/ptmigr/AImpug_000055.html"
detect.py,50,50,to,"To optimize communication between devices, it is recommended to set non_blocking to True.
For more information, please refer to: https://www.hiascend.com/document/detail/zh/canncommercial/700/modeldevpt/ptmigr/AImpug_000055.html"
detect.py,58,58,to,"To optimize communication between devices, it is recommended to set non_blocking to True.
For more information, please refer to: https://www.hiascend.com/document/detail/zh/canncommercial/700/modeldevpt/ptmigr/AImpug_000055.html"
train.py,56,57,torch.optim.SGD,"Try modifying to apex.optimizers.NpuFusedSGD.
For more information, please refer to: https://www.hiascend.com/document/detail/zh/canncommercial/700/modeldevpt/ptmigr/AImpug_000062.html"
train.py,67,67,to,"To optimize communication between devices, it is recommended to set non_blocking to True.
For more information, please refer to: https://www.hiascend.com/document/detail/zh/canncommercial/700/modeldevpt/ptmigr/AImpug_000055.html"
train.py,68,68,to,"To optimize communication between devices, it is recommended to set non_blocking to True.
For more information, please refer to: https://www.hiascend.com/document/detail/zh/canncommercial/700/modeldevpt/ptmigr/AImpug_000055.html"
